team,seed,SRS,PACE,Offrtg,Defrtg,seasonWins,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
warriors,1,1,1,2,1,67,240.6,41.6,87,0.478,10.8,27,0.398,30.8,60,0.514,16,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6,14.5,19.9,110
cavs,2,6,25,3,18,53,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1
pelicans,8,13,27,8,22,45,241.2,37.9,82.9,0.457,7.1,19.3,0.37,30.8,63.6,0.484,16.4,21.8,0.751,11.5,32,43.5,22,6.7,6.2,13.3,18.7,99.4
celtics,7,19,5,18,12,40,242.4,38.9,87.9,0.443,8,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4
rockets,2,7,2,12,8,56,241.5,37,83.3,0.444,11.4,32.7,0.348,25.6,50.6,0.506,18.6,26,0.715,11.7,32,43.7,22.2,9.5,5,16.7,22,103.9
mavericks,7,9,9,5,20,50,242.4,39.7,85.8,0.463,8.9,25.4,0.352,30.8,60.4,0.509,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2
clippers ,3,2,10,1,15,56,240.6,39.4,83.3,0.473,10.1,26.9,0.376,29.3,56.4,0.519,17.9,25.2,0.71,9.6,33.1,42.6,24.8,7.8,5,12.3,21.3,106.7
spurs,6,3,17,7,2,55,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8,5.4,14,19.1,103.2
grizzlies,5,8,26,13,3,55,242.7,37.8,82.5,0.458,5.2,15.2,0.339,32.6,67.3,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
blazers ,4,5,12,9,10,51,242.1,38.7,86,0.45,9.8,27.2,0.362,28.9,58.8,0.491,15.5,19.4,0.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
hawks,1,4,15,6,6,60,240.6,38.1,81.7,0.466,10,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
nets,8,24,24,20,23,38,243,37.4,83,0.451,6.6,19.9,0.331,30.8,63.1,0.489,16.6,22.2,0.748,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98
bulls,3,10,23,11,11,50,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8
bucks,6,16,13,26,4,41,243,37.6,82,0.459,6.6,18.3,0.363,31,63.7,0.486,16,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
raptors,4,12,21,4,25,49,242.1,37.9,83.3,0.455,8.9,25.1,0.352,29,58.2,0.499,19.3,24.6,0.787,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104
wizards,5,15,18,22,5,46,243.4,38.3,82.8,0.462,6.1,16.8,0.36,32.2,66,0.488,15.9,21.4,0.742,10.5,34.2,44.7,24,7.3,4.6,15,20.8,98.5
